,Yet to learn
0,Arkansas
1,Connecticut
2,Delaware
3,Georgia
4,Indiana
5,Iowa
6,Kansas
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,North Dakota
18,Oregon
19,Rhode Island
20,South Carolina
21,South Dakota
22,Tennessee
23,Utah
24,Vermont
